id,main_category,subcategory1,subcategory2
1194,Kesehatan,Suplemen Diet,Detox
1196,Kesehatan,Suplemen Diet,Obat Pelangsing
1197,Kesehatan,Suplemen Diet,Penambah Berat Badan
1198,Kesehatan,Suplemen Diet,Suplemen Fitnes
1199,Kesehatan,Essential Oil,
1200,Kesehatan,Kesehatan Wanita,Obat Keputihan
1201,Kesehatan,Kesehatan Wanita,Obat Menopause
1202,Kesehatan,Kesehatan Wanita,Obat Menstruasi
1203,Kesehatan,Kesehatan Wanita,Suplemen Kewanitaan
1205,Kesehatan,Vitamin & Multivitamin,Sistem Kekebalan Tubuh
1206,Kesehatan,Vitamin & Multivitamin,Suplemen Vitamin Rambut
1207,Kesehatan,Vitamin & Multivitamin,Vitamin A
1208,Kesehatan,Vitamin & Multivitamin,Vitamin Anak
1209,Kesehatan,Vitamin & Multivitamin,Vitamin B
1210,Kesehatan,Vitamin & Multivitamin,Vitamin Bayi
1211,Kesehatan,Vitamin & Multivitamin,Vitamin C
1212,Kesehatan,Vitamin & Multivitamin,Vitamin D
1213,Kesehatan,Vitamin & Multivitamin,Vitamin E
1214,Kesehatan,Vitamin & Multivitamin,Vitamin Ibu Hamil
1215,Kesehatan,Vitamin & Multivitamin,Calcium
1216,Kesehatan,Vitamin & Multivitamin,Vitamin & Nutrisi
1217,Kesehatan,Nutrisi Ibu Hamil,Tes Kehamilan
1218,Kesehatan,Nutrisi Ibu Hamil,Tes Masa Subur
1219,Kesehatan,Obat - Obatan,Obat Alergi
1220,Kesehatan,Obat - Obatan,Obat Batuk & Pilek
1221,Kesehatan,Obat - Obatan,Obat Bayi
1222,Kesehatan,Obat - Obatan,Obat Diabetes
1223,Kesehatan,Obat - Obatan,Obat Herbal
1224,Kesehatan,Obat - Obatan,Obat Jerawat
1225,Kesehatan,Obat - Obatan,Obat Kulit
1226,Kesehatan,Obat - Obatan,Obat Lainnya
1227,Kesehatan,Obat - Obatan,Obat Mata
1228,Kesehatan,Obat - Obatan,Obat Mulut
1229,Kesehatan,Obat - Obatan,Obat Pencernaan & Penyakit Lainnya
1230,Kesehatan,Obat - Obatan,Obat Sakit Kepala & Demam
1231,Kesehatan,Obat - Obatan,Obat Telinga
1232,Kesehatan,Perlengkapan Medis,Alat Bantu Pendengaran
1233,Kesehatan,Perlengkapan Medis,Alat Bantu Penglihatan
1234,Kesehatan,Perlengkapan Medis,Alat Bantu Pernafasan
1235,Kesehatan,Perlengkapan Medis,Alat Diagnosa
1236,Kesehatan,Perlengkapan Medis,Alat Laboratorium
1237,Kesehatan,Perlengkapan Medis,Alat Pelangsing
1238,Kesehatan,Perlengkapan Medis,Alat Penunjang Gerak
1239,Kesehatan,Perlengkapan Medis,Alat Pijat
1240,Kesehatan,Perlengkapan Medis,Alat Terapi
1241,Kesehatan,Perlengkapan Medis,Behel
1242,Kesehatan,Perlengkapan Medis,Diaper Dewasa
1243,Kesehatan,Perlengkapan Medis,Disposable Consumable
1244,Kesehatan,Perlengkapan Medis,Earmuff
1245,Kesehatan,Perlengkapan Medis,Peralatan P3K
1246,Kesehatan,Perlengkapan Medis,Peralatan Rumah Sakit Emergency
1247,Kesehatan,Perlengkapan Medis,Seragam Medis
1248,Kesehatan,Perlengkapan Medis,Termometer
1249,Kesehatan,Perlengkapan Medis,Timbangan Badan
1250,Kesehatan,Produk Dewasa,Alat Bantu Seksual
1251,Kesehatan,Produk Dewasa,Alat Kontrasepsi
1253,Kesehatan,Produk Dewasa,Produk Dewasa Lainnya
1254,Kesehatan,Produk Dewasa,Suplemen Vitalitas Pria
1255,Kesehatan,Tulang Otot & Sendi,Balsam
1256,Kesehatan,Tulang Otot & Sendi,Koyo
1257,Kesehatan,Tulang Otot & Sendi,Minyak Pijat
1258,Kesehatan,Tulang Otot & Sendi,Salep Otot
1259,Kesehatan,Masker,Masker Kesehatan
1260,Kesehatan,Masker,Pelindung Wajah
1261,Kesehatan,Perlengkapan Kebersihan,Contact Cleaner
1262,Kesehatan,Perlengkapan Kebersihan,Deterjen Laundry
1263,Kesehatan,Perlengkapan Kebersihan,Karbol
1264,Kesehatan,Perlengkapan Kebersihan,Pembersih Toilet
1265,Kesehatan,Perlengkapan Kebersihan,Pengharum Ruangan
1266,Kesehatan,Perlengkapan Kebersihan,Pest Control
1267,Kesehatan,Perlengkapan Kebersihan,Pewangi Pelembut Pakaian
1268,Kesehatan,Perlengkapan Kebersihan,Sabun Cuci Piring
1269,Kesehatan,Perlengkapan Kebersihan,Tissue
1270,Kesehatan,Perlengkapan Kebersihan,Toilet Seat Spray
